id,Tên tỉnh,Tên tỉnh không dấu,Loại,Tên đầy đủ,Tên xã phường,Loại,slug,name_with_type,path,path_with_type,code,parent_code
20747,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Khương Đình,phuong,khuong-dinh,Phường Khương Đình,"Khương Đình, Hà Nội","Phường Khương Đình, Thành phố Hà Nội",20747,11
21003,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phú Lương,phuong,phu-luong,Phường Phú Lương,"Phú Lương, Hà Nội","Phường Phú Lương, Thành phố Hà Nội",21003,11
21259,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Dương Nội,phuong,duong-noi,Phường Dương Nội,"Dương Nội, Hà Nội","Phường Dương Nội, Thành phố Hà Nội",21259,11
21515,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Kiến Hưng,phuong,kien-hung,Phường Kiến Hưng,"Kiến Hưng, Hà Nội","Phường Kiến Hưng, Thành phố Hà Nội",21515,11
21771,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hà Đông,phuong,ha-dong,Phường Hà Đông,"Hà Đông, Hà Nội","Phường Hà Đông, Thành phố Hà Nội",21771,11
22027,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hai Bà Trưng,phuong,hai-ba-trung,Phường Hai Bà Trưng,"Hai Bà Trưng, Hà Nội","Phường Hai Bà Trưng, Thành phố Hà Nội",22027,11
22283,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thượng Phúc,xa,thuong-phuc,Xã Thượng Phúc,"Thượng Phúc, Hà Nội","Xã Thượng Phúc, Thành phố Hà Nội",22283,11
22539,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thạch Thất,xa,thach-that,Xã Thạch Thất,"Thạch Thất, Hà Nội","Xã Thạch Thất, Thành phố Hà Nội",22539,11
22795,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hạ Bằng,xa,ha-bang,Xã Hạ Bằng,"Hạ Bằng, Hà Nội","Xã Hạ Bằng, Thành phố Hà Nội",22795,11
23051,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Nam Phù,xa,nam-phu,Xã Nam Phù,"Nam Phù, Hà Nội","Xã Nam Phù, Thành phố Hà Nội",23051,11
23307,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thanh Trì,xa,thanh-tri,Xã Thanh Trì,"Thanh Trì, Hà Nội","Xã Thanh Trì, Thành phố Hà Nội",23307,11
23563,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đại Mỗ,phuong,dai-mo,Phường Đại Mỗ,"Đại Mỗ, Hà Nội","Phường Đại Mỗ, Thành phố Hà Nội",23563,11
23819,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Vân Đình,xa,van-dinh,Xã Vân Đình,"Vân Đình, Hà Nội","Xã Vân Đình, Thành phố Hà Nội",23819,11
24075,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Yên Hòa,phuong,yen-hoa,Phường Yên Hòa,"Yên Hòa, Hà Nội","Phường Yên Hòa, Thành phố Hà Nội",24075,11
24331,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ô Chợ Dừa,phuong,o-cho-dua,Phường Ô Chợ Dừa,"Ô Chợ Dừa, Hà Nội","Phường Ô Chợ Dừa, Thành phố Hà Nội",24331,11
24587,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Kim Liên,phuong,kim-lien,Phường Kim Liên,"Kim Liên, Hà Nội","Phường Kim Liên, Thành phố Hà Nội",24587,11
24843,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Láng,phuong,lang,Phường Láng,"Láng, Hà Nội","Phường Láng, Thành phố Hà Nội",24843,11
25099,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đống Đa,phuong,dong-da,Phường Đống Đa,"Đống Đa, Hà Nội","Phường Đống Đa, Thành phố Hà Nội",25099,11
25355,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Văn Miếu-Quốc Tử Giám,phuong,van-mieuquoc-tu-giam,Phường Văn Miếu-Quốc Tử Giám,"Văn Miếu-Quốc Tử Giám, Hà Nội","Phường Văn Miếu-Quốc Tử Giám, Thành phố Hà Nội",25355,11
25611,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phú Thượng,phuong,phu-thuong,Phường Phú Thượng,"Phú Thượng, Hà Nội","Phường Phú Thượng, Thành phố Hà Nội",25611,11
25867,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hoàng Mai,phuong,hoang-mai,Phường Hoàng Mai,"Hoàng Mai, Hà Nội","Phường Hoàng Mai, Thành phố Hà Nội",25867,11
26123,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Từ Liêm,phuong,tu-liem,Phường Từ Liêm,"Từ Liêm, Hà Nội","Phường Từ Liêm, Thành phố Hà Nội",26123,11
26379,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đông Ngạc,phuong,dong-ngac,Phường Đông Ngạc,"Đông Ngạc, Hà Nội","Phường Đông Ngạc, Thành phố Hà Nội",26379,11
26635,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hòa Phú,xa,hoa-phu,Xã Hòa Phú,"Hòa Phú, Hà Nội","Xã Hòa Phú, Thành phố Hà Nội",26635,11
26891,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tây Phương,xa,tay-phuong,Xã Tây Phương,"Tây Phương, Hà Nội","Xã Tây Phương, Thành phố Hà Nội",26891,11
27147,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hòa Xá,xa,hoa-xa,Xã Hòa Xá,"Hòa Xá, Hà Nội","Xã Hòa Xá, Thành phố Hà Nội",27147,11
27403,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Bát Tràng,xa,bat-trang,Xã Bát Tràng,"Bát Tràng, Hà Nội","Xã Bát Tràng, Thành phố Hà Nội",27403,11
27659,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thuận An,xa,thuan-an,Xã Thuận An,"Thuận An, Hà Nội","Xã Thuận An, Thành phố Hà Nội",27659,11
27915,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Bạch Mai,phuong,bach-mai,Phường Bạch Mai,"Bạch Mai, Hà Nội","Phường Bạch Mai, Thành phố Hà Nội",27915,11
28171,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Thanh Xuân,phuong,thanh-xuan,Phường Thanh Xuân,"Thanh Xuân, Hà Nội","Phường Thanh Xuân, Thành phố Hà Nội",28171,11
28427,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Sơn Tây,phuong,son-tay,Phường Sơn Tây,"Sơn Tây, Hà Nội","Phường Sơn Tây, Thành phố Hà Nội",28427,11
28683,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Đan Phượng,xa,dan-phuong,Xã Đan Phượng,"Đan Phượng, Hà Nội","Xã Đan Phượng, Thành phố Hà Nội",28683,11
28939,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Chương Dương,xa,chuong-duong,Xã Chương Dương,"Chương Dương, Hà Nội","Xã Chương Dương, Thành phố Hà Nội",28939,11
29195,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Phượng Dực,xa,phuong-duc,Xã Phượng Dực,"Phượng Dực, Hà Nội","Xã Phượng Dực, Thành phố Hà Nội",29195,11
29451,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ứng Thiên,xa,ung-thien,Xã Ứng Thiên,"Ứng Thiên, Hà Nội","Xã Ứng Thiên, Thành phố Hà Nội",29451,11
29707,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hồng Sơn,xa,hong-son,Xã Hồng Sơn,"Hồng Sơn, Hà Nội","Xã Hồng Sơn, Thành phố Hà Nội",29707,11
29963,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Hưng Đạo,xa,hung-dao,Xã Hưng Đạo,"Hưng Đạo, Hà Nội","Xã Hưng Đạo, Thành phố Hà Nội",29963,11
30219,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Tam Hưng,xa,tam-hung,Xã Tam Hưng,"Tam Hưng, Hà Nội","Xã Tam Hưng, Thành phố Hà Nội",30219,11
30475,Hà Nội,ha-noi,thanh-pho,Thành phố Hà Nội,Ứng Hòa,xa,ung-hoa,Xã Ứng Hòa,"Ứng Hòa, Hà Nội","Xã Ứng Hòa, Thành phố Hà Nội",30475,11
